PERSONAJE,GLOSA
Japhet,"Jafet es uno de los tres hijos de Noé. El nombre significa “expandir”, por ello es considerado el antepasado de los pueblos de las regiones de Europa y Anatolia conocidas por los hebreos. Con base en este texto se lo consideró el ancestro de todas las naciones europeas y caucásicas, en especial durante la Edad Media y el Renacimiento."
Tubal,"La tribu tubal es una tribu sudoriental del Asia Menor que se identifica con los tibarenos y siempre aparece mencionada en conjunto con la tribu de mesec o mesej en la tradición cuneiforme asiria en los escritos griegos y en la Biblia, que vivieron específicamente en Cilicia. En la Biblia aparecen mencionados y descritos en el Libro de Ezequiel y en el Libro de Isaías para el siglo VII a. C., donde se les considera buenos guerreros, orfebres y vendedores de esclavos. En el Génesis se los cuenta entre los hijos de Jafet. Los cimerios los habrían hecho retirarse a la zona montañosa oriental del Mar Negro y en momentos dados de su historia fueron aliados de los escitas y de otras tribus para comerciar, guerrear y defenderse de sus enemigos comunes, Gén. 10:2, Ez. 27:13, Is. 66:19.El obispo Isidoro de Sevilla recogió una tradición sobre Tubal como antecesor de los íberos y de Iberia, también de los italianos o tribus italianas y españolas. Otra leyenda vasca reafirma esta procedencia de vascos Aitor, supuestamente hijo de Tubal (ver Tubalismo). En Portugal otra leyenda atribuye a Tubal la fundación de la ciudad de Setúbal. Generalmente se cree que de la Iberia caucásica estos Iberos emigraron a la península que se llamó luego ibérica en su honor. Hoy es la actual España.|Los Tubal son una tribu sudoriental del Asia Menor que vivió en Cilicia. En la Biblia aparecen mencionados y descritos en el Libro de Ezequiel y en el Libro de Isaías, donde se les considera buenos guerreros, orfebres y vendedores de esclavos. En el Génesis se los cuenta entre los hijos de Jafet. Isidoro de Sevilla recogió una tradición sobre Tubal como antecesor de los íberos y de Iberia, también de los italianos o tribus italianas y españolas. Otra leyenda vasca reafirma esta procedencia de vascos Aitor, supuestamente hijo de Tubal. En Portugal otra leyenda atribuye a Tubal la fundación de la ciudad de Setúbal."
Tubal,"Los Tubal son una tribu sudoriental del Asia Menor que vivió en Cilicia. En la Biblia aparecen mencionados y descritos en el Libro de Ezequiel y en el Libro de Isaías, donde se les considera buenos guerreros, orfebres y vendedores de esclavos. En el Génesis se los cuenta entre los hijos de Jafet. Isidoro de Sevilla recogió una tradición sobre Tubal como antecesor de los íberos y de Iberia, también de los italianos o tribus italianas y españolas. Otra leyenda vasca reafirma esta procedencia de vascos Aitor, supuestamente hijo de Tubal. En Portugal otra leyenda atribuye a Tubal la fundación de la ciudad de Setúbal."
Noè,Refiere al Noé bíblico que protagoniza el relato del diluvio y el Arca de la Alianza del Génesis.
Tupìs,"Se trata de los Tupíes o Tupís, parcialidad perteneciente al tronco lingüístico Tupí-Guaraní. En el texto aparecen mecionados como tupinamás."
Ricinos,
caribes,"Loskalinago, llamadoscaribesycaríbaleso, en algunos documentos históricos, denominaciones derivadas del proto-caribe*karipona, eran un conjunto de pueblos que, en el momento delcontacto colombinoen el siglo XVI, ocupaban el norte deColombia, el noreste deVenezuelay variasAntillas Menores."
Lusitano,Refiere a originarios de Portugal
Romanos,
Cèsar,Se trata de Julio César. En un principio se creía que Trujillo era la Castra Julia mencionada por Plinio.
Caribes,"Loskalinago, llamadoscaribesycaríbaleso, en algunos documentos históricos, denominaciones derivadas del proto-caribe*karipona, eran un conjunto de pueblos que, en el momento delcontacto colombinoen el siglo XVI, ocupaban el norte deColombia, el noreste deVenezuelay variasAntillas Menores."
Caribe,"Loskalinago, llamadoscaribesycaríbaleso, en algunos documentos históricos, denominaciones derivadas del proto-caribe*karipona, eran un conjunto de pueblos que, en el momento delcontacto colombinoen el siglo XVI, ocupaban el norte deColombia, el noreste deVenezuelay variasAntillas Menores."
Tupí,"Tupíes, parcialidad perteneciente al tronco lingüístico Tupí-Guaraní y  que tenía uno de sus principales asentamientos en la Bahía de Guanabara."
Guaranì,"Refiere aLos guaraníes o avá, según su autodenominación étnica original  (que significa ""ser humano""), son un grupo de pueblos indígenas  suramericanos que se ubican geográficamente en Paraguay, noreste de  Argentina (en ciertas zonas de provincias de la Región del Litoral),​  sur y suroeste de Brasil (en los estados de Río Grande del Sur, Santa  Catarina, Paraná y Mato Grosso del Sur) y sureste de Bolivia (en los  departamentos de Tarija, Santa Cruz y Chuquisaca) y norte de Uruguay.El  muy difundido nombre guaraní lo escucharon los españoles que, al invadir  su territorio, habrían oído, entre los gritos de guerra de este pueblo,  la frase guará-ny, que significa ""combatir-los"". Por otra parte el  nombre dada significa en guaraní 'guerrero', ""ava"" que significa  ""hombre"" y se pronuncia en forma grave entre los chiriguanos (ava  guaraníes).Otra versión afirma que la denominación fue tomada de la  deformación de una palabra guaraní, guariní que significa precisamente  ""guerra"" o ""guerrear"". Al parecer los mismos indígenas se denominaron de  esa manera, indicando con ello que se consideraban guerreros.|Bibliografía: Silva Noelli, Francisco, ""La distribución geográfica de las evidencias arqueológicasguaraní"", en Revista de Indias, vol. LXIV, núm. 30, 2004, pp. 17-34; Susnik, Branislava, El indio colonial del Paraguay. El guaraní colonial, Asunción, Museo Etnográfico ""Andrés Barbero"", 1965; Susnik, Branislava, El rol de los indígenas en la formación y en la vivencia delParaguay. Tomo I, Asunción, Universo, 1982; Melià, Bartomeu, El guaraní conquistado y reducido: ensayos de etnohistoria, Asunción, Universidad Católica-Centro de Estudios Paraguayos ""AntonioGuasch"", cuarta edición, 1997 [1986]; Melià, Bartomeu, ""Sociedades fluviales y selvícolas del este: Paraguay y Paraná"", en Rojas Rabiela, Teresa; Murra, John (dirs.), Historia general de América Latina. Volumen I, París, Editorial Trotta-UNESCO, 1999, pp. 335-552; Catafesto de Sousa, José Otávio, ""O sistema econômico nas sociedades indígenas guaraní pré-coloniais"", en Horizontes Antropológicos, año 8, núm. 18, 2002, pp. 211-253; Monteiro, John Manuel, ""Os guaraní e a História do Brasil Meridional. Séculos XVI-XVII"", en Carneiro Da Cunha, Manuela L. (org.), História dos índios no Brasil, San Pablo, Fundação de Amparo à Pesquisa do Estado de São Paulo-Companhia das Letras-Secretaria Municipal de Cultura Prefeitura do Município de São Paulo, 1992 pp. 475-498."
Tupì,"Tupíes, parcialidad perteneciente al tronco lingüístico Tupí-Guaraní y  que tenía uno de sus principales asentamientos en la Bahía de Guanabara."
Guaraní,"Refiere aLos guaraníes o avá, según su autodenominación étnica original  (que significa ""ser humano""), son un grupo de pueblos indígenas  suramericanos que se ubican geográficamente en Paraguay, noreste de  Argentina (en ciertas zonas de provincias de la Región del Litoral),​  sur y suroeste de Brasil (en los estados de Río Grande del Sur, Santa  Catarina, Paraná y Mato Grosso del Sur) y sureste de Bolivia (en los  departamentos de Tarija, Santa Cruz y Chuquisaca) y norte de Uruguay.El  muy difundido nombre guaraní lo escucharon los españoles que, al invadir  su territorio, habrían oído, entre los gritos de guerra de este pueblo,  la frase guará-ny, que significa ""combatir-los"". Por otra parte el  nombre dada significa en guaraní 'guerrero', ""ava"" que significa  ""hombre"" y se pronuncia en forma grave entre los chiriguanos (ava  guaraníes).Otra versión afirma que la denominación fue tomada de la  deformación de una palabra guaraní, guariní que significa precisamente  ""guerra"" o ""guerrear"". Al parecer los mismos indígenas se denominaron de  esa manera, indicando con ello que se consideraban guerreros."
Mahomas,"Refiere a pueblo que habitaba en la zona de la acual provincia de Corrientes, son parte de la parcialidad toba, también conocidos como qom, etnia del grupo pámpido que habita en el Chaco Central."
Epuaes,Epúan fue un cacique pampa o tehuelche que participó en las negociaciones comerciales y de expansión territorial en la campaña bonaerense posteriores a las guerras independentistas.
Calchines,Los calchines fueron un pueblo indígena que a la llegada de los primeros exploradores españoles en el siglo XVI vivían en la margen derecha del río Paraná en el centro de la provincia de Santa Fe en Argentina. Formaban parte del grupo de los chaná-timbúes (o grupo del Litoral)
Timbues,"Refiere a una parcialidad de los Chaná-timbúes, habitantes nativos de las riberas del Paraná y del Uruguay y que estarían conectados con la construcción de Cerritos en estos espacios, propios de la cultura Goya-Malabrigo. Practicaban diferentes estrategias de explotación del medio, combinando pesca, caza, recolección y horticultura."
Cherandies,"Refiere a querandíes, sociedad nativa que los exploradores y colonos españoles hallaron en las tierras del Río de la Plata, pero que circulaban por vastos espacios interiores, desde las pampas al norte de la Patagonia, sierras centrales y la Mesopotamia argentina. Se mantenían aprovechando los recursos faunísticos, vegetales y líticos de estos territorios, utilizando modelos de explotación del medio muy flexibles."
Beguaes,Refiere a mbeguaes o beguaes fueron un pueblo indígena que a la llegada de los primeros exploradores españoles en el siglo XVI se hallaban en Argentina en las islas del delta del Paraná en lo que actualmente es el sur de la provincia de Entre Ríos y el norte del interior de la Provincia de Buenos Aires. Formaban parte del grupo de los chaná-timbúes (o grupo del Litoral).
Agaces,"Refiere a agaces o agases, sociedad nativa que habitaba en el curso inferior del río Paraguay. Pertenecían al tronco lingüístico mataco-guaycurú, eran muy hábiles canoeros y pescadores. Solían tener conflictos con los guaraníes carios que vivían río arriba y luego por extensión con los cristianos de Asunción."
Nogoès,
Sanafines,
Maures,
Tecos,
Sansones,
Mogoznaes,"Refiere a los mogoznas, habitaban la zona de región chaqueña boreal que va desde el río Pilcomayo hasta el río Verde, y serían una parcialidad de guaycurúes."
Charruaes,Los charrúas constituían una sociedad de cazadores-recoletores que habitaban en los actuales territorios de Uruguay.
Naues,
Mepenes,"Refiere a mepenes (del guaraní no pasarán). Pueblo que se asentaba en la República Argentina en el suroeste de la provincia de Corrientes en la margen derecha del río Paraná (provincia de Santa Fe y provincia del Chaco) al sur del río Bermejo. Formaban parte del grupo de los chaná-timbúes, se los cree emparentados con los guaicurúes ya que sus restos arqueológicos evidencias influencias amazónicas."
Chiloazas,"Refiere a los quiloazas, pueblo indígena que a la llegada de los primeros exploradores españoles en el siglo XVI se hallaban en la República Argentina en el centro de la provincia de Santa Fe sobre el río Paraná en torno a la laguna Setúbal. El río San Javier fue denominado río de los Quiloazas y junto a él se fundó la primitiva ciudad de Santa Fe. Formaban parte del grupo de los chaná-timbúes (o grupo del Litoral), se los cree emparentados con los guaycurúes ya que sus restos arqueológicos evidencian influencias amazónicas."
Guaranís,"Refiere aLos guaraníes o avá, según su autodenominación étnica original  (que significa ""ser humano""), son un grupo de pueblos indígenas  suramericanos que se ubican geográficamente en Paraguay, noreste de  Argentina (en ciertas zonas de provincias de la Región del Litoral),​  sur y suroeste de Brasil (en los estados de Río Grande del Sur, Santa  Catarina, Paraná y Mato Grosso del Sur) y sureste de Bolivia (en los  departamentos de Tarija, Santa Cruz y Chuquisaca) y norte de Uruguay.El  muy difundido nombre guaraní lo escucharon los españoles que, al invadir  su territorio, habrían oído, entre los gritos de guerra de este pueblo,  la frase guará-ny, que significa ""combatir-los"". Por otra parte el  nombre dada significa en guaraní 'guerrero', ""ava"" que significa  ""hombre"" y se pronuncia en forma grave entre los chiriguanos (ava  guaraníes).Otra versión afirma que la denominación fue tomada de la  deformación de una palabra guaraní, guariní que significa precisamente  ""guerra"" o ""guerrear"". Al parecer los mismos indígenas se denominaron de  esa manera, indicando con ello que se consideraban guerreros.|Bibliografía: Silva Noelli, Francisco, ""La distribución geográfica de las evidencias arqueológicasguaraní"", en Revista de Indias, vol. LXIV, núm. 30, 2004, pp. 17-34; Susnik, Branislava, El indio colonial del Paraguay. El guaraní colonial, Asunción, Museo Etnográfico ""Andrés Barbero"", 1965; Susnik, Branislava, El rol de los indígenas en la formación y en la vivencia delParaguay. Tomo I, Asunción, Universo, 1982; Melià, Bartomeu, El guaraní conquistado y reducido: ensayos de etnohistoria, Asunción, Universidad Católica-Centro de Estudios Paraguayos ""AntonioGuasch"", cuarta edición, 1997 [1986]; Melià, Bartomeu, ""Sociedades fluviales y selvícolas del este: Paraguay y Paraná"", en Rojas Rabiela, Teresa; Murra, John (dirs.), Historia general de América Latina. Volumen I, París, Editorial Trotta-UNESCO, 1999, pp. 335-552; Catafesto de Sousa, José Otávio, ""O sistema econômico nas sociedades indígenas guaraní pré-coloniais"", en Horizontes Antropológicos, año 8, núm. 18, 2002, pp. 211-253; Monteiro, John Manuel, ""Os guaraní e a História do Brasil Meridional. Séculos XVI-XVII"", en Carneiro Da Cunha, Manuela L. (org.), História dos índios no Brasil, San Pablo, Fundação de Amparo à Pesquisa do Estado de São Paulo-Companhia das Letras-Secretaria Municipal de Cultura Prefeitura do Município de São Paulo, 1992 pp. 475-498.|Refiere aLos guaraníes o avá, según su autodenominación étnica original  (que significa ""ser humano""). Grupo de pueblos indígenas que se ubican geográficamente en Paraguay, noreste de  Argentina,​  sur y suroeste de Brasil y sureste de Bolivia y norte de Uruguay. El  muy difundido nombre guaraní lo escucharon los españoles que, al invadir  su territorio, habrían oído, entre los gritos de guerra de este pueblo,  la frase guará-ny, que significa ""combatir-los"".Otra versión afirma que la denominación fue tomada de la  deformación de una palabra guaraní que significa precisamente  ""guerra"" o ""guerrear"". Al parecer los mismos indígenas se denominaron de  esa manera, indicando con ello que se consideraban guerreros.|Refiere aLos guaraníes o avá, según su autodenominación étnica original (que significa ""ser humano""). Grupo de pueblos indígenas que se ubican geográficamente en Paraguay, noreste de Argentina,​ sur y suroeste de Brasil y sureste de Bolivia y norte de Uruguay. El muy difundido nombre guaraní lo escucharon los españoles que, al invadir su territorio, habrían oído, entre los gritos de guerra de este pueblo, la frase guará-ny, que significa ""combatir-los"".Otra versión afirma que la denominación fue tomada de la deformación de una palabra guaraní que significa precisamente ""guerra"" o ""guerrear""."
Charcas,"El pueblo charca fue una etnia indígena que habitó la región alta de los actuales noroeste del departamento de Chuquisaca, norte del departamento de Potosí, sudeste del departamento de Oruro y sudoeste del departamento de Cochabamba (Bolivia). Desde fines del siglo XV fueron súbditos del Imperio inca. Regularmente sufrían incursiones de los avá guaraní (desde el actual Paraguay, al este), que ellos llamaban chiriguanos. Trabajaban la tierra y cultivaban maíz y coca en yungas."
Chiriguanaes,"Los Chiriguanos, son grupo de lengua Tupí - Guaraní que desde el Amazonas ocuparon sectores de Paraguay, Bolivia y Argentina. Fue el punto culminante de su expansión hacia el sur, en la búsqueda mesiánica de la ""Tierra sin mal"" o de nuevas tierras para cultivo. Eran agricultores sedentarios, a base de mandioca, zapallos, batata y maíz. La técnica de cultivo era la típica ""milpa"" amazónica: talado de árboles, corte de la maleza, incendio y posterior cultivo sobre el terreno quemado. Entre los siglos XV y XVI sometieron a los Chané a los que esclavizaron. Algunas crónicas indican que ese dominio se sustentó en una sistemática antropofagia que prácticamente devastó a los Chané."
Inga,"Refiere a la lengua quechua, utilizada por el incanato y expandido por todo el territorio del Tawantinsuyu desde el siglo XV. El incanato se desarrolló en la región de los Andes peruanos entre los siglos XV y XVI, como consecuencia del apogeo de la civilización incaica."
Chiriguana,"Los Chiriguanos, son grupo de lengua Tupí - Guaraní que desde el Amazonas ocuparon sectores de Paraguay, Bolivia y Argentina. Fue el punto culminante de su expansión hacia el sur, en la búsqueda mesiánica de la ""Tierra sin mal"" o de nuevas tierras para cultivo. Eran agricultores sedentarios, a base de mandioca, zapallos, batata y maíz. La técnica de cultivo era la típica ""milpa"" amazónica: talado de árboles, corte de la maleza, incendio y posterior cultivo sobre el terreno quemado. Entre los siglos XV y XVI sometieron a los Chané a los que esclavizaron. Algunas crónicas indican que ese dominio se sustentó en una sistemática antropofagia que prácticamente devastó a los Chané.|Bibliografía: Saignes, Thierry, ""El sureste entre la conquista inca y la invasión chiriguano"", en Combès, Isabelle (comp.), Historia del pueblo Chiriguano, La Paz, Instituto Francés de Estudios Andinos- Embajada de Francia en Bolivia, 2007, pp. 41-54; Saignes, Thierry, Ava y Karai: Ensayos sobre la frontera Chiriguano (siglo XVIXX),Hisbol, La Paz, 1990; e Historia del Pueblo Chiriguano, La Paz, IFEA Instituto Francés de Estudios Andinos, 2007.|Los Chiriguanos, son grupo de lengua Tupí- Guaraní que desde el Amazonas ocuparon sectores de Paraguay, Bolivia y Argentina. Fue el punto culminante de su expansión hacia el sur, en la búsqueda mesiánica de la ""Tierra sin mal"" o de nuevas tierras para cultivo. Eran agricultores sedentarios, Entre los siglos XV y XVI sometieron a los Chané a los que esclavizaron. Algunas crónicas indican que ese dominio se sustentó en una sistemática antropofagia que prácticamente devastó a los Chané.|"
Incas,"El incanato se desarrolló en la región de los Andes peruanos entre los siglos XV y XVI, como consecuencia del apogeo de la civilización incaica."
Pizarros,"Francisco Pizarro, conquistador del imperio incaico, fue acompañado en su empresa por sus hermanos: Hernando, Gonzalo y Juan Pizarro."
Pizarro l,"Francisco Pizarro González (Trujillo, Castilla, 16 de marzo de 1478-Lima, 26 de junio de 1541)​ fue un conquistador español que lideró a comienzos del siglo XVI la expedición que iniciaría la conquista del Perú. Posteriormente sería nombrado gobernador de Nueva Castilla, con sede de gobierno en Ciudad de los Reyes (Lima). Pizarro integró la expedición que descubrió el Mar del Sur (Océano Pacífico), empresa liderada por Vasco Núñez de Balboa en 1513. En 1532, tras capturar y asesinar al Sapa Inca Atahualpa, pudo imponerse sobre el Imperio incaico con ayuda de diversos cacicazgos locales, conquistando el mencionado estado imperial cuyo centro de gobierno se ubicaba en el actual Cuzco, Perú."
Magallanes,"Fernando de Magallanes, también conocido como Hernando de Magallanes (1480-1521), fue un militar, explorador, marino y navegante portugués de linaje noble. Fue nombrado adelantado por la Monarquía Hispánica y capitán general de la ""Armada para el descubrimiento de la especería"" y comendador de la Orden de Santiago. Al servicio de Carlos I, inició en 1519 la expedición en la que descubrió el canal natural navegable que hoy recibe el nombre de estrecho de Magallanes, realizando la primera navegación de origen europeo desde el océano Atlántico hasta el océano Pacífico, llamado hasta entonces mar del Sur. Esta expedición, en la que Magallanes murió, se convirtió en la primera circunnavegación de la Tierra cuando una de sus naos, capitaneada por Juan Sebastián Elcano, regresó a España en 1522."
Juan Diaz de Solìs,"Juan Pedro Díaz de Solís (1470–1516) fue un navegante y explorador castellano o portugués (en portugués, João Pedro Dias de Solis), considerado como el primer europeo en llegar al Río de la Plata."
Timbú,"Chaná-timbúes, habitantes nativos de las riberas del Paraná y del Uruguay y que estarían conectados con la construcción de Cerritos en estos espacios, propios de la cultura Goya-Malabrigo. Los chaná-timúes practicaban diferentes estrategias de explotación del medio, combinando pesca, caza, recolección y horticultura."
Carlos,"Carlos I de España y V del Sacro Imperio Romano Germánico, llamado ""el César""​ (1500-1558), reinó junto con su madre, Juana I de Castilla —esta última de forma solo nominal y hasta 1555—, en todos los reinos y territorios hispánicos con el nombre de Carlos I desde 1516​ hasta 1556, reuniendo así por primera vez en una misma persona las Coronas de Castilla —el Reino de Navarra inclusive— y Aragón. Fue emperador del Sacro Imperio Romano Germánico como Carlos V de 1520 a 1558."
Gaboto,"Sebastián Caboto (1477-1557) fue, como su padre Juan, un piloto y  explorador que sirvió a las coronas de España e Inglaterra. Entró al  servicio de esta última en 1518 como piloto mayor y bajo sus auspicios  realizó el viaje que lo llevaría a explorar el Río de Solís. Si bien el  propósito inicial de su expedición de 1526 era repetir la  circunnavegación de Magallanes (tal y como consta en la capitulación que  firmó con Carlos I), Caboto decidió alterar el rumbo de su armada  atraído por las noticias recolectadas en la costa brasileña, que  indicaban la existencia de una sierra argentífera remontando el río  austral. Caboto y sus tripulantes exploraron la región hasta entrado  1529, cuando los ataques de los indios, los dudosos resultados de sus  exploraciones y la falta de bastimentos lo obligarona a abandonar el  Río de Solís."
Timbus,"Chaná-timbúes, habitantes nativos de las riberas del Paraná y del Uruguay y que estarían conectados con la construcción de Cerritos en estos espacios, propios de la cultura Goya-Malabrigo. Los chaná-timúes practicaban diferentes estrategias de explotación del medio, combinando pesca, caza, recolección y horticultura."
Pedro Guadix y de Mendoza,"Pedro de Mendoza (1499-1537), fue un noble español nacido de Cádiz. Tuvo  una destacada actividad militar en las campañas de Carlos I  en Italia, y con la fortuna que logró en ellas, solicitó la conquista  del Río de la Plata. Por capitulación firmada con en el rey en 1534 se  lo designa gobernador y primer adelantando a la provincia del mismo nombre. Su armada llegó a las costas del Río de  la Plata en 1536. En la margen izquierda del río, al sur de la actual  ciudad de Buenos Aires, Mendoza ordenó el establecimiento de un puerto  llamado Nuestra Señora del Buen Ayre, pero sus intenciones eran  continuar las exploraciones río arriba, en busca de la Sierra de la  Plata. El asentamiento en Buenos Aires rápidamenta sufrió hambre y  ataques de las sociedades nativas. Debido a las dificultades que  enfrentaba la población de Buenos Aires y de los dos asentamientos  establecidos Paraná arriba (Buena Esperanza y Corpus Christi), decide abandonar su  conquista, delegando el mando general de la armada en Juan de Ayolas y  el gobierno de Buenos Aires en Ruiz Galán. Moriría cruzando el Atlántico  en 1537."
Pedro de Guadix,"Pedro de Mendoza (1499-1537), fue un noble español nacido de Cádiz. Tuvo  una destacada actividad militar en las campañas militares de Carlos I  en Italia, y con la fortuna que logró en ellas, solicitó la conquista  del Río de la Plata. Por capitulación firmada con en el rey en 1534 se  lo designa gobernador y primer adelantando a la provincia del mismo  bombre. Su armanda, una de las más grandes en términos de hombres y  barcos que cruzaron el océano a América, llegó a las costas del Río de  la Plata en 1536. En la margen izquierda del río, al sur de la actual  ciudad de Buenos Aires, Mendoza ordenó el establecimiento de un puerto  llamado Nuestra Señora del Buen Ayre, pero sus intencionres eran  continuar las exploraciones río arriba, en busca de la Sierra de la  Plata. El asentamiento en Buenos Aires rápidamenta sufrió hambre y  ataques de las sociedades nativas. Al mismo tiempo, Pedro de Mendoza  delegó gran parte de las tareas de exploración de la región en su  teniente gobernador, Juan de Ayolas. Debido a las dificultades que  enfrentaba la población de Buenos Aires y de los dos asentamientos  establecidos Paraná arriba (Buena Esperanza y Corpus Christi) y la  ausencia de noticias del Juan de Ayolas (quien luego se sabría, habría  alcanzado tierras chiriguanas) Pedro de Mendoza decide abandonar su  conquista, delegando el mando general de la armada en Juan de Ayolas y  el gobierno de Buenos Aires en Ruiz Galán. Moriría cruzando el Atlántico  en 1537."
Don Pedro,"Pedro de Mendoza (1499-1537), fue un noble español nacido de Cádiz. Por capitulación firmada con en el rey en 1534 se  lo designa gobernador y primer adelantando a la provincia del Río de la Plata. En la margen izquierda del río, al sur de la actual  ciudad de Buenos Aires, Mendoza ordenó el establecimiento de un puerto  llamado Nuestra Señora del Buen Ayre, pero sus intencionres eran  continuar las exploraciones río arriba, en busca de la Sierra de la  Plata. El asentamiento en Buenos Aires rápidamenta sufrió hambre y  ataques de las sociedades nativas. Debido a las dificultades que  enfrentaba la población de Buenos Aires y de los dos asentamientos  establecidos Paraná arriba (Buena Esperanza y Corpus Christi) y la  ausencia de noticias del Juan de Ayolas, Mendoza decide abandonar su  conquista. Moriría cruzando el Atlántico  en 1537."
Juan Ortiz,"Juan Ortiz de Zárate (Orduña de Vizcaya, Corona de Castilla, ca. 1515 -  Asunción, gobernación del Río de la Plata y del Paraguay, 26 de enero de  1576) era un conquistador y colonizador español que reemplazó al  gobernador Francisco Ortiz de Vergara, con sede en Asunción y que más  tarde, en 1567, fuera nombrado tercer adelantado del Río de la Plata en  forma interina por disposición del virrey del Perú, el licenciado Lope  García de Castro, y confirmado para dos generaciones por el rey Felipe  II de España."
Eduardo de Fontano,
Guaranís,"Refiere aLos guaraníes o avá, según su autodenominación étnica original  (que significa ""ser humano""). Grupo de pueblos indígenas que se ubican geográficamente en Paraguay, noreste de  Argentina,​  sur y suroeste de Brasil y sureste de Bolivia y norte de Uruguay. El  muy difundido nombre guaraní lo escucharon los españoles que, al invadir  su territorio, habrían oído, entre los gritos de guerra de este pueblo,  la frase guará-ny, que significa ""combatir-los"".Otra versión afirma que la denominación fue tomada de la  deformación de una palabra guaraní que significa precisamente  ""guerra"" o ""guerrear"". Al parecer los mismos indígenas se denominaron de  esa manera, indicando con ello que se consideraban guerreros."
